,train,val,test
0,1009466_171125_ImageActual,1009644_269153_ImageActual,1009790_271240_ImageActual
1,1009467_416633_ImageActual,1009645_269154_ImageActual,1009793_271271_ImageActual
2,1009603_269112_ImageActual,1009410_171036_ImageActual,1009816_271289_ImageActual
3,1009604_269113_ImageActual,1009411_170998_ImageActual,1009836_271286_ImageActual
4,1009480_171144_ImageActual,1009544_171068_ImageActual,1009800_271261_ImageActual
5,1009481_416637_ImageActual,1009545_171064_ImageActual,1009846_271295_ImageActual
6,1009430_171003_ImageActual,1009669_269178_ImageActual,1009831_271307_ImageActual
7,1009431_416625_ImageActual,1009670_269179_ImageActual,1009851_271319_ImageActual
8,1009534_171061_ImageActual,1009524_171031_ImageActual,1009814_271269_ImageActual
9,1009535_171051_ImageActual,1009525_416649_ImageActual,1009826_271279_ImageActual
10,1009607_269116_ImageActual,1009502_171032_ImageActual,1009832_271282_ImageActual
11,1009608_269117_ImageActual,1009503_416641_ImageActual,1009852_271309_ImageActual
12,1009414_171117_ImageActual,1009615_269124_ImageActual,1009820_271276_ImageActual
13,1009415_416623_ImageActual,1009616_269125_ImageActual,1009840_271285_ImageActual
14,1009536_171140_ImageActual,1009424_171033_ImageActual,1009780_271255_ImageActual
15,1009537_416650_ImageActual,1009425_171016_ImageActual,1009859_271311_ImageActual
16,1009464_171050_ImageActual,1009490_171126_ImageActual,1009817_271300_ImageActual
17,1009465_171021_ImageActual,1009491_171025_ImageActual,1009837_271281_ImageActual
18,1009528_171070_ImageActual,1009672_269181_ImageActual,1009782_271237_ImageActual
19,1009529_171105_ImageActual,1009674_269183_ImageActual,1009861_271320_ImageActual
20,1009631_269140_ImageActual,1009629_269138_ImageActual,1009794_271256_ImageActual
21,1009632_269141_ImageActual,1009630_269139_ImageActual,1009795_271257_ImageActual
22,1009418_171094_ImageActual,1009498_171066_ImageActual,1009785_271241_ImageActual
23,1009419_171037_ImageActual,1009499_416640_ImageActual,1009787_271235_ImageActual
24,1009635_269144_ImageActual,1009550_171147_ImageActual,1009824_271265_ImageActual
25,1009636_269145_ImageActual,1009551_171138_ImageActual,1009844_271299_ImageActual
26,1009625_269134_ImageActual,1009420_171030_ImageActual,1009815_271272_ImageActual
27,1009626_269135_ImageActual,1009421_171104_ImageActual,1009827_271291_ImageActual
28,1009516_171073_ImageActual,TCGA-13-1484-01A-01-TS1.c6df9072-78a4-40f9-a081-b0ca35de65e3,1009819_271270_ImageActual
29,1009517_416645_ImageActual,TCGA-13-1495-01A-01-TS1.beca9d8a-6867-45d1-a81e-03dc4e7989b0,1009839_271315_ImageActual
30,1009556_171049_ImageActual,TCGA-24-1545-01A-01-TS1.bb95934d-79b6-4172-8dd1-a849daf1c4c3,1009818_271304_ImageActual
31,1009557_416653_ImageActual,TCGA-24-1551-01A-01-TS1.681cb51e-c47d-4877-8041-54e92143e106,1009838_271296_ImageActual
32,1009641_269150_ImageActual,TCGA-24-1553-01A-01-TS1.335b5d27-d22e-4631-a772-ad33e0e3fc49,1009807_271249_ImageActual
33,1009642_269151_ImageActual,TCGA-24-2027-01A-01-TS1.d6d55952-e8db-460f-aaff-9cc1b9044610,1009809_271275_ImageActual
34,1009454_171085_ImageActual,TCGA-24-2290-01A-01-TS1.298bd41d-f2e2-4db3-9582-62d0be13aa8c,1009799_271251_ImageActual
35,1009455_171134_ImageActual,TCGA-29-1762-01A-01-TS1.30a33cd4-4485-4a15-9eb6-2d2bb79ab844,1009864_271312_ImageActual
36,1009520_171043_ImageActual,TCGA-36-1576-01A-01-TS1.683327b5-b127-439f-9a47-6bf7f1d01203,1009822_271268_ImageActual
37,1009521_416647_ImageActual,TCGA-36-2529-01A-01-TS1.33839a85-adb0-408b-ba0a-d69d67ae46c2,1009842_271306_ImageActual
38,1009597_269106_ImageActual,TCGA-42-2588-01A-01-TS1.cc3b36dc-1ce9-4db3-998b-fa73058fe4fd,1009829_271280_ImageActual
39,1009598_269107_ImageActual,TCGA-42-2588-01Z-00-DX1.e0bd9f78-2078-4bc3-867b-136d117f7b13,1009849_271297_ImageActual
40,1009504_171087_ImageActual,TCGA-13-1500-01A-01-TS1.95e6bd03-3d90-44bd-a889-64466383d9fc,1009833_271287_ImageActual
